Image,Caption
urn:cite:mid:sbb104imgs.sbb00000104_0000209.v1,"Folio 103, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000210.v1,"Folio 103, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000211.v1,"Folio 104, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000212.v1,"Folio 104, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000213.v1,"Folio 105, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000214.v1,"Folio 105, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000215.v1,"Folio 106, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000216.v1,"Folio 106, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000217.v1,"Folio 107, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000218.v1,"Folio 107, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000219.v1,"Folio 108, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000220.v1,"Folio 108, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000221.v1,"Folio 109, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000222.v1,"Folio 109, verso"
